file,sample_id,change_count,changes
cdr_0/one_person_description/cdr_0_voice2_female_daily_life_0286.json,cdr_0_voice2_female_daily_life_0286,6,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; marked_transcript:normalized; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
cdr_0/one_person_description/cdr_0_voice2_female_family_0057.json,cdr_0_voice2_female_family_0057,6,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; marked_transcript:normalized; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
cdr_0/one_person_description/cdr_0_voice2_female_family_0244.json,cdr_0_voice2_female_family_0244,6,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; marked_transcript:normalized; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
cdr_0/one_person_description/cdr_0_voice2_female_family_0256.json,cdr_0_voice2_female_family_0256,5,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
cdr_0/one_person_description/cdr_0_voice2_female_family_0296.json,cdr_0_voice2_female_family_0296,6,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; marked_transcript:normalized; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
cdr_0/one_person_description/cdr_0_voice2_female_home_0091.json,cdr_0_voice2_female_home_0091,5,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
cdr_0/one_person_description/cdr_0_voice2_female_market_0018.json,cdr_0_voice2_female_market_0018,6,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; marked_transcript:normalized; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
cdr_0/one_person_description/cdr_0_voice2_female_market_0061.json,cdr_0_voice2_female_market_0061,5,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
cdr_0/one_person_description/cdr_0_voice2_female_market_0143.json,cdr_0_voice2_female_market_0143,6,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; marked_transcript:normalized; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
cdr_0/one_person_description/cdr_0_voice2_female_market_0238.json,cdr_0_voice2_female_market_0238,6,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; marked_transcript:normalized; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
cdr_0/one_person_description/cdr_0_voice2_female_medicine_routine_0070.json,cdr_0_voice2_female_medicine_routine_0070,6,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; marked_transcript:normalized; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
cdr_0/one_person_description/cdr_0_voice2_female_medicine_routine_0090.json,cdr_0_voice2_female_medicine_routine_0090,6,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; marked_transcript:normalized; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
cdr_0/one_person_description/cdr_0_voice2_female_medicine_routine_0241.json,cdr_0_voice2_female_medicine_routine_0241,6,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; marked_transcript:normalized; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
cdr_0/one_person_description/cdr_0_voice2_female_picture_description_0002.json,cdr_0_voice2_female_picture_description_0002,6,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; marked_transcript:normalized; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
cdr_0/one_person_description/cdr_0_voice2_female_picture_description_0004.json,cdr_0_voice2_female_picture_description_0004,6,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; marked_transcript:normalized; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
cdr_0/one_person_description/cdr_0_voice2_female_picture_description_0036.json,cdr_0_voice2_female_picture_description_0036,6,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; marked_transcript:normalized; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
